ablation,models,status,weights,val_pr_auc,threshold_source,recall_target,min_recall,threshold,roc_auc,pr_auc,test_roc_auc,test_pr_auc,accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
XGBoost only,XGBoost,ok,{'XGBoost': 1.0},0.2377930749394894,val_recall_0.6,True,0.6,0.4149999999999999,0.6645862372060232,0.21941763934840655,0.6645862372060232,0.21941763934840655,0.647382559129922,0.17079252003561887,0.5691394658753709,0.657092355280601,0.26273972602739726,8922,4656,726,959
XGBoost + TabTransformer,XGBoost+TabTransformer,ok,"{'XGBoost': 0.38, 'TabTransformer': 0.62}",0.24326303587824782,val_recall_0.6,True,0.6,0.4149999999999999,0.666022580601453,0.2251065938188863,0.666022580601453,0.2251065938188863,0.6414204284871913,0.17118055555555556,0.5851632047477745,0.6484018264840182,0.2648757555406313,8804,4774,699,986
XGBoost + LightGBM + CatBoost,XGBoost+LightGBM+CatBoost,ok,"{'XGBoost': 0.16978258681883376, 'LightGBM': 0.020374004224338237, 'CatBoost': 0.809843408956828}",0.241149556122439,val_recall_0.6,True,0.6,0.4749999999999999,0.670794482084608,0.2216604053194877,0.670794482084608,0.2216604053194877,0.6534757256109546,0.17671331180480804,0.5845697329376854,0.662026808071881,0.27138724342195897,8989,4589,700,985
All models,Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM,ok,"{'Logistic Regression': 0.01781746882935218, 'XGBoost': 0.00973571254211074, 'XGBoost Calibrated': 0.1613414136811882, 'LightGBM': 0.06125181995241429, 'CatBoost': 0.10132478843725319, 'MLP': 0.04936739513052338, 'TabNet': 0.04951616277637574, 'TabTransformer': 0.4088388822854857, 'TabM': 0.14080635636529668}",0.24541409415386262,val_recall_0.6,True,0.6,0.37999999999999995,0.6697103404748386,0.2262860742744536,0.6697103404748386,0.2262860742744536,0.654392976479067,0.17528943560057886,0.5750741839762611,0.6642362645455885,0.26868154720643284,9019,4559,716,969
