model,split,threshold_source,recall_target,threshold,roc_auc,pr_auc,test_roc_auc,test_pr_auc,accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,ranking,rank
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,0.6,0.38999999999999996,0.5932,0.15926442390784537,0.5932,0.15926442390784537,0.47555555555555556,0.13385826771653545,0.68,0.45,0.2236842105263158,90,110,8,17,test_pr_auc,15
Weighted XGBoost+TabM Ensemble,test,val_max_f1,0.6,0.4049999999999999,0.5932,0.15926442390784537,0.5932,0.15926442390784537,0.76,0.16279069767441862,0.28,0.82,0.20588235294117646,164,36,18,7,test_pr_auc,16
TabNet (recall target),test,val_recall_0.6,0.6,0.4699999999999999,0.5834,0.15907184522690843,0.5834,0.15907184522690843,0.5422222222222223,0.1388888888888889,0.6,0.535,0.22556390977443608,107,93,10,15,test_pr_auc,17
TabNet,test,val_max_f1,0.6,0.5149999999999999,0.5834,0.15907184522690843,0.5834,0.15907184522690843,0.76,0.17777777777777778,0.32,0.815,0.22857142857142856,163,37,17,8,test_pr_auc,18
XGBoost Tuned (recall target),test,val_recall_0.6,0.6,0.13999999999999999,0.5609999999999999,0.15132193315035136,0.5609999999999999,0.15132193315035136,0.28888888888888886,0.11864406779661017,0.84,0.22,0.2079207920792079,44,156,4,21,test_pr_auc,19
XGBoost Tuned,test,val_max_f1,0.6,0.48999999999999994,0.5609999999999999,0.15132193315035136,0.5609999999999999,0.15132193315035136,0.7333333333333333,0.14285714285714285,0.28,0.79,0.1891891891891892,158,42,18,7,test_pr_auc,20
Weighted XGBoost+TabNet Ensemble (recall target),test,val_recall_0.6,0.6,0.145,0.5598,0.1509961876216087,0.5598,0.1509961876216087,0.28888888888888886,0.11864406779661017,0.84,0.22,0.2079207920792079,44,156,4,21,test_pr_auc,21
Weighted XGBoost+TabNet Ensemble,test,val_max_f1,0.6,0.49499999999999994,0.5598,0.1509961876216087,0.5598,0.1509961876216087,0.7422222222222222,0.14893617021276595,0.28,0.8,0.19444444444444445,160,40,18,7,test_pr_auc,22
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,0.6,0.21999999999999997,0.5662,0.15028728507600797,0.5662,0.15028728507600797,0.30666666666666664,0.12571428571428572,0.88,0.235,0.22,47,153,3,22,test_pr_auc,23
Weighted XGBoost+TabTransformer Ensemble,test,val_max_f1,0.6,0.5099999999999999,0.5662,0.15028728507600797,0.5662,0.15028728507600797,0.7911111111111111,0.17647058823529413,0.24,0.86,0.2033898305084746,172,28,19,6,test_pr_auc,24
LightGBM Tuned (recall target),test,val_recall_0.6,0.6,0.10999999999999999,0.59,0.1496976451188105,0.59,0.1496976451188105,0.4888888888888889,0.13709677419354838,0.68,0.465,0.22818791946308725,93,107,8,17,test_pr_auc,25
LightGBM Tuned,test,val_max_f1,0.6,0.42999999999999994,0.59,0.1496976451188105,0.59,0.1496976451188105,0.7644444444444445,0.13157894736842105,0.2,0.835,0.15873015873015872,167,33,20,5,test_pr_auc,26
Weighted XGBoost+LightGBM Ensemble (recall target),test,val_recall_0.6,0.6,0.11499999999999999,0.5884,0.14900827834530894,0.5884,0.14900827834530894,0.48,0.1349206349206349,0.68,0.455,0.2251655629139073,91,109,8,17,test_pr_auc,27
Weighted XGBoost+LightGBM Ensemble,test,val_max_f1,0.6,0.42999999999999994,0.5884,0.14900827834530894,0.5884,0.14900827834530894,0.7511111111111111,0.12195121951219512,0.2,0.82,0.15151515151515152,164,36,20,5,test_pr_auc,28
Weighted XGBoost+CatBoost Ensemble (recall target),test,val_recall_0.6,0.6,0.48999999999999994,0.603,0.1479086186042224,0.603,0.1479086186042224,0.5466666666666666,0.14678899082568808,0.64,0.535,0.23880597014925373,107,93,9,16,test_pr_auc,29
Weighted XGBoost+CatBoost Ensemble,test,val_max_f1,0.6,0.5499999999999999,0.603,0.1479086186042224,0.603,0.1479086186042224,0.7155555555555555,0.14545454545454545,0.32,0.765,0.2,153,47,17,8,test_pr_auc,30
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,0.6,0.06,0.5529,0.13983654710437227,0.5529,0.13983654710437227,0.28444444444444444,0.12222222222222222,0.88,0.21,0.2146341463414634,42,158,3,22,test_pr_auc,31
XGBoost Tuned Calibrated,test,val_max_f1,0.6,0.105,0.5529,0.13983654710437227,0.5529,0.13983654710437227,0.7511111111111111,0.15555555555555556,0.28,0.81,0.2,162,38,18,7,test_pr_auc,32
CatBoost Tuned (recall target),test,val_recall_0.6,0.6,0.5199999999999999,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.6044444444444445,0.16666666666666666,0.64,0.6,0.2644628099173554,120,80,9,16,test_pr_auc,33
Weighted XGBoost+LightGBM+CatBoost Ensemble (recall target),test,val_recall_0.6,0.6,0.5199999999999999,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.6044444444444445,0.16666666666666666,0.64,0.6,0.2644628099173554,120,80,9,16,test_pr_auc,34
CatBoost Tuned,test,val_max_f1,0.6,0.575,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.7377777777777778,0.075,0.12,0.815,0.09230769230769231,163,37,22,3,test_pr_auc,35
Weighted XGBoost+LightGBM+CatBoost Ensemble,test,val_max_f1,0.6,0.575,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.7377777777777778,0.075,0.12,0.815,0.09230769230769231,163,37,22,3,test_pr_auc,36
CatBoost Tuned (recall target),test,val_recall_0.6,0.6,0.5199999999999999,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.6044444444444445,0.16666666666666666,0.64,0.6,0.2644628099173554,120,80,9,16,precision_at_recall_0.6,1
Weighted XGBoost+LightGBM+CatBoost Ensemble (recall target),test,val_recall_0.6,0.6,0.5199999999999999,0.5938,0.13579554359023582,0.5938,0.13579554359023582,0.6044444444444445,0.16666666666666666,0.64,0.6,0.2644628099173554,120,80,9,16,precision_at_recall_0.6,2
Weighted AllAvailableModels Ensemble (recall target),test,val_recall_0.6,0.6,0.33999999999999997,0.6468,0.22370019735838548,0.6468,0.22370019735838548,0.5644444444444444,0.1523809523809524,0.64,0.555,0.24615384615384617,111,89,9,16,precision_at_recall_0.6,3
Weighted XGBoost+CatBoost Ensemble (recall target),test,val_recall_0.6,0.6,0.48999999999999994,0.603,0.1479086186042224,0.603,0.1479086186042224,0.5466666666666666,0.14678899082568808,0.64,0.535,0.23880597014925373,107,93,9,16,precision_at_recall_0.6,4
Logistic Regression,test,val_max_f1,0.6,0.19999999999999996,0.6226,0.2138773857351871,0.6226,0.2138773857351871,0.5111111111111111,0.14285714285714285,0.68,0.49,0.2361111111111111,98,102,8,17,precision_at_recall_0.6,5
TabNet (recall target),test,val_recall_0.6,0.6,0.4699999999999999,0.5834,0.15907184522690843,0.5834,0.15907184522690843,0.5422222222222223,0.1388888888888889,0.6,0.535,0.22556390977443608,107,93,10,15,precision_at_recall_0.6,6
LightGBM Tuned (recall target),test,val_recall_0.6,0.6,0.10999999999999999,0.59,0.1496976451188105,0.59,0.1496976451188105,0.4888888888888889,0.13709677419354838,0.68,0.465,0.22818791946308725,93,107,8,17,precision_at_recall_0.6,7
Weighted XGBoost+LightGBM Ensemble (recall target),test,val_recall_0.6,0.6,0.11499999999999999,0.5884,0.14900827834530894,0.5884,0.14900827834530894,0.48,0.1349206349206349,0.68,0.455,0.2251655629139073,91,109,8,17,precision_at_recall_0.6,8
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,0.6,0.38999999999999996,0.5932,0.15926442390784537,0.5932,0.15926442390784537,0.47555555555555556,0.13385826771653545,0.68,0.45,0.2236842105263158,90,110,8,17,precision_at_recall_0.6,9
TabM-Style Ensemble MLP (recall target),test,val_recall_0.6,0.6,0.39499999999999996,0.6119999999999999,0.20245115101384326,0.6119999999999999,0.20245115101384326,0.4177777777777778,0.13194444444444445,0.76,0.375,0.22485207100591717,75,125,6,19,precision_at_recall_0.6,10
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,0.6,0.21999999999999997,0.5662,0.15028728507600797,0.5662,0.15028728507600797,0.30666666666666664,0.12571428571428572,0.88,0.235,0.22,47,153,3,22,precision_at_recall_0.6,11
Logistic Regression (recall target),test,val_recall_0.6,0.6,0.14999999999999997,0.6226,0.2138773857351871,0.6226,0.2138773857351871,0.4222222222222222,0.1223021582733813,0.68,0.39,0.2073170731707317,78,122,8,17,precision_at_recall_0.6,12
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,0.6,0.06,0.5529,0.13983654710437227,0.5529,0.13983654710437227,0.28444444444444444,0.12222222222222222,0.88,0.21,0.2146341463414634,42,158,3,22,precision_at_recall_0.6,13
XGBoost Tuned (recall target),test,val_recall_0.6,0.6,0.13999999999999999,0.5609999999999999,0.15132193315035136,0.5609999999999999,0.15132193315035136,0.28888888888888886,0.11864406779661017,0.84,0.22,0.2079207920792079,44,156,4,21,precision_at_recall_0.6,14
Weighted XGBoost+TabNet Ensemble (recall target),test,val_recall_0.6,0.6,0.145,0.5598,0.1509961876216087,0.5598,0.1509961876216087,0.28888888888888886,0.11864406779661017,0.84,0.22,0.2079207920792079,44,156,4,21,precision_at_recall_0.6,15
