model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
Stacking LogReg C=10,age,[0-10),26,0.0,,0.0,0.0,0.58
Stacking LogReg C=10,age,[10-20),95,0.06315789473684211,0.16927239427239427,0.0,0.0,0.58
Stacking LogReg C=10,age,[20-30),248,0.1532258064516129,0.4798145488579053,0.7894736842105263,0.42857142857142855,0.58
Stacking LogReg C=10,age,[30-40),564,0.10815602836879433,0.25239966227353794,0.39344262295081966,0.24742268041237114,0.58
Stacking LogReg C=10,age,[40-50),1401,0.10278372591006424,0.27761719374654587,0.4791666666666667,0.22258064516129034,0.58
Stacking LogReg C=10,age,[50-60),2600,0.09192307692307693,0.2157649090236254,0.3263598326359833,0.20689655172413793,0.58
Stacking LogReg C=10,age,[60-70),3405,0.11600587371512482,0.24683969848180107,0.3670886075949367,0.23848684210526316,0.58
Stacking LogReg C=10,age,[70-80),3966,0.11699445284921836,0.21933111681392906,0.3599137931034483,0.2,0.58
Stacking LogReg C=10,age,[80-90),2544,0.11988993710691824,0.20182579120703237,0.32786885245901637,0.19230769230769232,0.58
Stacking LogReg C=10,age,[90-100),416,0.12259615384615384,0.18674030258757202,0.23529411764705882,0.1791044776119403,0.58
Stacking LogReg C=10,gender,Female,8168,0.11287952987267386,0.23723062595196226,0.3872017353579176,0.22753346080305928,0.58
Stacking LogReg C=10,gender,Male,7096,0.11006200676437429,0.22436078687862493,0.34314980793854033,0.20318423047763456,0.58
Stacking LightGBM Meta,age,[0-10),26,0.0,,0.0,0.0,0.62
Stacking LightGBM Meta,age,[10-20),95,0.06315789473684211,0.17542610368697326,0.16666666666666666,0.2,0.62
Stacking LightGBM Meta,age,[20-30),248,0.1532258064516129,0.5094319400154294,0.7105263157894737,0.4426229508196721,0.62
Stacking LightGBM Meta,age,[30-40),564,0.10815602836879433,0.2668477866246715,0.32786885245901637,0.2631578947368421,0.62
Stacking LightGBM Meta,age,[40-50),1401,0.10278372591006424,0.2659689555513912,0.4236111111111111,0.2606837606837607,0.62
Stacking LightGBM Meta,age,[50-60),2600,0.09192307692307693,0.21579921996795176,0.29707112970711297,0.23745819397993312,0.62
Stacking LightGBM Meta,age,[60-70),3405,0.11600587371512482,0.23723869960066285,0.30632911392405066,0.26535087719298245,0.62
Stacking LightGBM Meta,age,[70-80),3966,0.11699445284921836,0.21606719008351705,0.27370689655172414,0.21061359867330018,0.62
Stacking LightGBM Meta,age,[80-90),2544,0.11988993710691824,0.20135177392607506,0.2360655737704918,0.20512820512820512,0.62
Stacking LightGBM Meta,age,[90-100),416,0.12259615384615384,0.22992877126808622,0.19607843137254902,0.25,0.62
Stacking LightGBM Meta,gender,Female,8168,0.11287952987267386,0.23544724967557726,0.3091106290672451,0.2446351931330472,0.62
Stacking LightGBM Meta,gender,Male,7096,0.11006200676437429,0.222263242503218,0.2880921895006402,0.234375,0.62
