ablation,models,status,weights,val_pr_auc,threshold_source,recall_target,min_recall,threshold,roc_auc,pr_auc,test_roc_auc,test_pr_auc,accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
XGBoost only,XGBoost,ok,{'XGBoost': 1.0},0.24127562435118172,val_recall_0.6,True,0.6,0.32999999999999996,0.6770997908476788,0.22670447063742938,0.6770997908476788,0.22670447063742938,0.6624303963314773,0.18360234776228906,0.5877862595419847,0.671803568795163,0.2798043326345213,9111,4451,702,1001
XGBoost + TabTransformer,XGBoost+TabTransformer,ok,"{'XGBoost': 0.56, 'TabTransformer': 0.43999999999999995}",0.24243439351132268,val_recall_0.6,True,0.6,0.35999999999999993,0.6777469351300476,0.22857453490012186,0.6777469351300476,0.22857453490012186,0.6569931215198166,0.17945926329159861,0.5807398708162067,0.6665683527503318,0.2741890767951206,9040,4522,714,989
XGBoost + LightGBM + CatBoost,XGBoost+LightGBM+CatBoost,ok,"{'XGBoost': 0.2459005352767572, 'LightGBM': 0.1135833842362344, 'CatBoost': 0.6405160804870084}",0.24631758019470026,val_recall_0.6,True,0.6,0.175,0.6794851733752636,0.23175719609397769,0.6794851733752636,0.23175719609397769,0.662102849656076,0.183201907207042,0.5866118614210217,0.6715823624834095,0.2792062604807155,9108,4454,704,999
All models,Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM,ok,"{'Logistic Regression': 0.0587943090306684, 'XGBoost': 0.002108113937815986, 'XGBoost Calibrated': 0.43791905176070356, 'LightGBM': 0.1518663667795789, 'CatBoost': 0.2820446555658419, 'MLP': 0.01178235892103676, 'TabNet': 0.017305923654767026, 'TabTransformer': 0.007654550021126185, 'TabM': 0.03052467032846142}",0.24858169894919493,val_recall_0.6,True,0.6,0.16499999999999998,0.6793174826245452,0.23027776831261376,0.6793174826245452,0.23027776831261376,0.6581722895512611,0.18178526163317038,0.5895478567234292,0.6667895590620853,0.27788541378355935,9043,4519,699,1004
